,PassengerId,Survived,Sex,Age,Fare,Titulo_Master,Titulo_Miss,Titulo_Mr,Titulo_Mrs,Titulo_Nobre,Titulo_Oficial,Emb_C,Emb_Q,Emb_S,Classe_1,Classe_2,Classe_3,Tamanho_Familia,Sozinho
0,1,0,1,22.0,7.25,0,0,1,0,0,0,0,0,1,0,0,1,2,0
1,2,1,0,38.0,71.2833,0,0,0,1,0,0,1,0,0,1,0,0,2,0
2,3,1,0,26.0,7.925,0,1,0,0,0,0,0,0,1,0,0,1,1,1
3,4,1,0,35.0,53.1,0,0,0,1,0,0,0,0,1,1,0,0,2,0
4,5,0,1,35.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
5,6,0,1,28.0,8.4583,0,0,1,0,0,0,0,1,0,0,0,1,1,1
6,7,0,1,54.0,51.8625,0,0,1,0,0,0,0,0,1,1,0,0,1,1
7,8,0,1,2.0,21.075,1,0,0,0,0,0,0,0,1,0,0,1,5,0
8,9,1,0,27.0,11.1333,0,0,0,1,0,0,0,0,1,0,0,1,3,0
9,10,1,0,14.0,30.0708,0,0,0,1,0,0,1,0,0,0,1,0,2,0
10,11,1,0,4.0,16.7,0,1,0,0,0,0,0,0,1,0,0,1,3,0
11,12,1,0,58.0,26.55,0,1,0,0,0,0,0,0,1,1,0,0,1,1
12,13,0,1,20.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
13,14,0,1,39.0,31.275,0,0,1,0,0,0,0,0,1,0,0,1,7,0
14,15,0,0,14.0,7.8542,0,1,0,0,0,0,0,0,1,0,0,1,1,1
15,16,1,0,55.0,16.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
16,17,0,1,2.0,29.125,1,0,0,0,0,0,0,1,0,0,0,1,6,0
17,18,1,1,28.0,13.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
18,19,0,0,31.0,18.0,0,0,0,1,0,0,0,0,1,0,0,1,2,0
19,20,1,0,28.0,7.225,0,0,0,1,0,0,1,0,0,0,0,1,1,1
20,21,0,1,35.0,26.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
21,22,1,1,34.0,13.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
22,23,1,0,15.0,8.0292,0,1,0,0,0,0,0,1,0,0,0,1,1,1
23,24,1,1,28.0,35.5,0,0,1,0,0,0,0,0,1,1,0,0,1,1
24,25,0,0,8.0,21.075,0,1,0,0,0,0,0,0,1,0,0,1,5,0
25,26,1,0,38.0,31.3875,0,0,0,1,0,0,0,0,1,0,0,1,7,0
26,27,0,1,28.0,7.225,0,0,1,0,0,0,1,0,0,0,0,1,1,1
27,28,0,1,19.0,263.0,0,0,1,0,0,0,0,0,1,1,0,0,6,0
28,29,1,0,28.0,7.8792,0,1,0,0,0,0,0,1,0,0,0,1,1,1
29,30,0,1,28.0,7.8958,0,0,1,0,0,0,0,0,1,0,0,1,1,1
30,31,0,1,40.0,27.7208,0,0,0,0,1,0,1,0,0,1,0,0,1,1
31,32,1,0,28.0,146.5208,0,0,0,1,0,0,1,0,0,1,0,0,2,0
32,33,1,0,28.0,7.75,0,1,0,0,0,0,0,1,0,0,0,1,1,1
33,34,0,1,66.0,10.5,0,0,1,0,0,0,0,0,1,0,1,0,1,1
34,35,0,1,28.0,82.1708,0,0,1,0,0,0,1,0,0,1,0,0,2,0
35,36,0,1,42.0,52.0,0,0,1,0,0,0,0,0,1,1,0,0,2,0
36,37,1,1,28.0,7.2292,0,0,1,0,0,0,1,0,0,0,0,1,1,1
37,38,0,1,21.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
38,39,0,0,18.0,18.0,0,1,0,0,0,0,0,0,1,0,0,1,3,0
39,40,1,0,14.0,11.2417,0,1,0,0,0,0,1,0,0,0,0,1,2,0
40,41,0,0,40.0,9.475,0,0,0,1,0,0,0,0,1,0,0,1,2,0
41,42,0,0,27.0,21.0,0,0,0,1,0,0,0,0,1,0,1,0,2,0
42,43,0,1,28.0,7.8958,0,0,1,0,0,0,1,0,0,0,0,1,1,1
43,44,1,0,3.0,41.5792,0,1,0,0,0,0,1,0,0,0,1,0,4,0
44,45,1,0,19.0,7.8792,0,1,0,0,0,0,0,1,0,0,0,1,1,1
45,46,0,1,28.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
46,47,0,1,28.0,15.5,0,0,1,0,0,0,0,1,0,0,0,1,2,0
47,48,1,0,28.0,7.75,0,1,0,0,0,0,0,1,0,0,0,1,1,1
48,49,0,1,28.0,21.6792,0,0,1,0,0,0,1,0,0,0,0,1,3,0
49,50,0,0,18.0,17.8,0,0,0,1,0,0,0,0,1,0,0,1,2,0
50,51,0,1,7.0,39.6875,1,0,0,0,0,0,0,0,1,0,0,1,6,0
51,52,0,1,21.0,7.8,0,0,1,0,0,0,0,0,1,0,0,1,1,1
52,53,1,0,49.0,76.7292,0,0,0,1,0,0,1,0,0,1,0,0,2,0
53,54,1,0,29.0,26.0,0,0,0,1,0,0,0,0,1,0,1,0,2,0
54,55,0,1,65.0,61.9792,0,0,1,0,0,0,1,0,0,1,0,0,2,0
55,56,1,1,28.0,35.5,0,0,1,0,0,0,0,0,1,1,0,0,1,1
56,57,1,0,21.0,10.5,0,1,0,0,0,0,0,0,1,0,1,0,1,1
57,58,0,1,28.5,7.2292,0,0,1,0,0,0,1,0,0,0,0,1,1,1
58,59,1,0,5.0,27.75,0,1,0,0,0,0,0,0,1,0,1,0,4,0
59,60,0,1,11.0,46.9,1,0,0,0,0,0,0,0,1,0,0,1,8,0
60,61,0,1,22.0,7.2292,0,0,1,0,0,0,1,0,0,0,0,1,1,1
61,62,1,0,38.0,80.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
62,63,0,1,45.0,83.475,0,0,1,0,0,0,0,0,1,1,0,0,2,0
63,64,0,1,4.0,27.9,1,0,0,0,0,0,0,0,1,0,0,1,6,0
64,65,0,1,28.0,27.7208,0,0,1,0,0,0,1,0,0,1,0,0,1,1
65,66,1,1,28.0,15.2458,1,0,0,0,0,0,1,0,0,0,0,1,3,0
66,67,1,0,29.0,10.5,0,0,0,1,0,0,0,0,1,0,1,0,1,1
67,68,0,1,19.0,8.1583,0,0,1,0,0,0,0,0,1,0,0,1,1,1
68,69,1,0,17.0,7.925,0,1,0,0,0,0,0,0,1,0,0,1,7,0
69,70,0,1,26.0,8.6625,0,0,1,0,0,0,0,0,1,0,0,1,3,0
70,71,0,1,32.0,10.5,0,0,1,0,0,0,0,0,1,0,1,0,1,1
71,72,0,0,16.0,46.9,0,1,0,0,0,0,0,0,1,0,0,1,8,0
72,73,0,1,21.0,73.5,0,0,1,0,0,0,0,0,1,0,1,0,1,1
73,74,0,1,26.0,14.4542,0,0,1,0,0,0,1,0,0,0,0,1,2,0
74,75,1,1,32.0,56.4958,0,0,1,0,0,0,0,0,1,0,0,1,1,1
75,76,0,1,25.0,7.65,0,0,1,0,0,0,0,0,1,0,0,1,1,1
76,77,0,1,28.0,7.8958,0,0,1,0,0,0,0,0,1,0,0,1,1,1
77,78,0,1,28.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
78,79,1,1,0.83,29.0,1,0,0,0,0,0,0,0,1,0,1,0,3,0
79,80,1,0,30.0,12.475,0,1,0,0,0,0,0,0,1,0,0,1,1,1
80,81,0,1,22.0,9.0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
81,82,1,1,29.0,9.5,0,0,1,0,0,0,0,0,1,0,0,1,1,1
82,83,1,0,28.0,7.7875,0,1,0,0,0,0,0,1,0,0,0,1,1,1
83,84,0,1,28.0,47.1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
84,85,1,0,17.0,10.5,0,1,0,0,0,0,0,0,1,0,1,0,1,1
85,86,1,0,33.0,15.85,0,0,0,1,0,0,0,0,1,0,0,1,4,0
86,87,0,1,16.0,34.375,0,0,1,0,0,0,0,0,1,0,0,1,5,0
87,88,0,1,28.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
88,89,1,0,23.0,263.0,0,1,0,0,0,0,0,0,1,1,0,0,6,0
89,90,0,1,24.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
90,91,0,1,29.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
91,92,0,1,20.0,7.8542,0,0,1,0,0,0,0,0,1,0,0,1,1,1
92,93,0,1,46.0,61.175,0,0,1,0,0,0,0,0,1,1,0,0,2,0
93,94,0,1,26.0,20.575,0,0,1,0,0,0,0,0,1,0,0,1,4,0
94,95,0,1,59.0,7.25,0,0,1,0,0,0,0,0,1,0,0,1,1,1
95,96,0,1,28.0,8.05,0,0,1,0,0,0,0,0,1,0,0,1,1,1
96,97,0,1,71.0,34.6542,0,0,1,0,0,0,1,0,0,1,0,0,1,1
97,98,1,1,23.0,63.3583,0,0,1,0,0,0,1,0,0,1,0,0,2,0
98,99,1,0,34.0,23.0,0,0,0,1,0,0,0,0,1,0,1,0,2,0
