,PassengerId,Sex,Age,Fare,Titulo_Master,Titulo_Miss,Titulo_Mr,Titulo_Mrs,Titulo_Oficial,Titulo_Nobre,Emb_C,Emb_Q,Emb_S,Classe_1,Classe_2,Classe_3,Tamanho_Familia,Sozinho
0,892,1,34.5,7.8292,0,0,1,0,0,0,0,1,0,0,0,1,1,0
1,893,0,47.0,7.0,0,0,0,1,0,0,0,0,1,0,0,1,2,0
2,894,1,62.0,9.6875,0,0,1,0,0,0,0,1,0,0,1,0,1,1
3,895,1,27.0,8.6625,0,0,1,0,0,0,0,0,1,0,0,1,1,0
4,896,0,22.0,12.2875,0,0,0,1,0,0,0,0,1,0,0,1,3,1
5,897,1,14.0,9.225,0,0,1,0,0,0,0,0,1,0,0,1,1,1
6,898,0,30.0,7.6292,0,1,0,0,0,0,0,1,0,0,0,1,1,1
7,899,1,26.0,29.0,0,0,1,0,0,0,0,0,1,0,1,0,3,0
8,900,0,18.0,7.2292,0,0,0,1,0,0,1,0,0,0,0,1,1,0
9,901,1,21.0,24.15,0,0,1,0,0,0,0,0,1,0,0,1,3,0
10,902,1,27.0,7.8958,0,0,1,0,0,0,0,0,1,0,0,1,1,0
11,903,1,46.0,26.0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
12,904,0,23.0,82.2667,0,0,0,1,0,0,0,0,1,1,0,0,2,1
13,905,1,63.0,26.0,0,0,1,0,0,0,0,0,1,0,1,0,2,0
14,906,0,47.0,61.175,0,0,0,1,0,0,0,0,1,1,0,0,2,1
15,907,0,24.0,27.7208,0,0,0,1,0,0,1,0,0,0,1,0,2,1
16,908,1,35.0,12.35,0,0,1,0,0,0,0,1,0,0,1,0,1,0
17,909,1,21.0,7.225,0,0,1,0,0,0,1,0,0,0,0,1,1,1
18,910,0,27.0,7.925,0,1,0,0,0,0,0,0,1,0,0,1,2,0
19,911,0,45.0,7.225,0,0,0,1,0,0,1,0,0,0,0,1,1,1
20,912,1,55.0,59.4,0,0,1,0,0,0,1,0,0,1,0,0,2,1
21,913,1,9.0,3.1708,1,0,0,0,0,0,0,0,1,0,0,1,2,1
22,914,0,27.0,31.6833,0,0,0,1,0,0,0,0,1,1,0,0,1,1
23,915,1,21.0,61.3792,0,0,1,0,0,0,1,0,0,1,0,0,2,1
24,916,0,48.0,262.375,0,0,0,1,0,0,1,0,0,1,0,0,5,0
25,917,1,50.0,14.5,0,0,1,0,0,0,0,0,1,0,0,1,2,0
26,918,0,22.0,61.9792,0,1,0,0,0,0,1,0,0,1,0,0,2,1
27,919,1,22.5,7.225,0,0,1,0,0,0,1,0,0,0,0,1,1,0
28,920,1,41.0,30.5,0,0,1,0,0,0,0,0,1,1,0,0,1,1
29,921,1,27.0,21.6792,0,0,1,0,0,0,1,0,0,0,0,1,3,1
30,922,1,50.0,26.0,0,0,1,0,0,0,0,0,1,0,1,0,2,1
31,923,1,24.0,31.5,0,0,1,0,0,0,0,0,1,0,1,0,3,0
32,924,0,33.0,20.575,0,0,0,1,0,0,0,0,1,0,0,1,4,1
33,925,0,27.0,23.45,0,0,0,1,0,0,0,0,1,0,0,1,4,1
34,926,1,30.0,57.75,0,0,1,0,0,0,1,0,0,1,0,0,2,0
35,927,1,18.5,7.2292,0,0,1,0,0,0,1,0,0,0,0,1,1,0
36,928,0,27.0,8.05,0,1,0,0,0,0,0,0,1,0,0,1,1,1
37,929,0,21.0,8.6625,0,1,0,0,0,0,0,0,1,0,0,1,1,1
38,930,1,25.0,9.5,0,0,1,0,0,0,0,0,1,0,0,1,1,0
39,931,1,27.0,56.4958,0,0,1,0,0,0,0,0,1,0,0,1,1,0
40,932,1,39.0,13.4167,0,0,1,0,0,0,1,0,0,0,0,1,2,0
41,933,1,27.0,26.55,0,0,1,0,0,0,0,0,1,1,0,0,1,0
42,934,1,41.0,7.85,0,0,1,0,0,0,0,0,1,0,0,1,1,1
43,935,0,30.0,13.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
44,936,0,45.0,52.5542,0,0,0,1,0,0,0,0,1,1,0,0,2,1
45,937,1,25.0,7.925,0,0,1,0,0,0,0,0,1,0,0,1,1,1
46,938,1,45.0,29.7,0,0,1,0,0,0,1,0,0,1,0,0,1,0
47,939,1,27.0,7.75,0,0,1,0,0,0,0,1,0,0,0,1,1,1
48,940,0,60.0,76.2917,0,0,0,1,0,0,1,0,0,1,0,0,1,0
49,941,0,36.0,15.9,0,0,0,1,0,0,0,0,1,0,0,1,3,0
50,942,1,24.0,60.0,0,0,1,0,0,0,0,0,1,1,0,0,2,0
51,943,1,27.0,15.0333,0,0,1,0,0,0,1,0,0,0,1,0,1,1
52,944,0,20.0,23.0,0,1,0,0,0,0,0,0,1,0,1,0,4,0
53,945,0,28.0,263.0,0,1,0,0,0,0,0,0,1,1,0,0,6,0
54,946,1,27.0,15.5792,0,0,1,0,0,0,1,0,0,0,1,0,1,0
55,947,1,10.0,29.125,1,0,0,0,0,0,0,1,0,0,0,1,6,1
56,948,1,35.0,7.8958,0,0,1,0,0,0,0,0,1,0,0,1,1,1
57,949,1,25.0,7.65,0,0,1,0,0,0,0,0,1,0,0,1,1,1
58,950,1,27.0,16.1,0,0,1,0,0,0,0,0,1,0,0,1,2,0
59,951,0,36.0,262.375,0,1,0,0,0,0,1,0,0,1,0,0,1,0
60,952,1,17.0,7.8958,0,0,1,0,0,0,0,0,1,0,0,1,1,1
61,953,1,32.0,13.5,0,0,1,0,0,0,0,0,1,0,1,0,1,1
62,954,1,18.0,7.75,0,0,1,0,0,0,0,0,1,0,0,1,1,0
63,955,0,22.0,7.725,0,1,0,0,0,0,0,1,0,0,0,1,1,0
64,956,1,13.0,262.375,1,0,0,0,0,0,1,0,0,1,0,0,5,1
65,957,0,27.0,21.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
66,958,0,18.0,7.8792,0,1,0,0,0,0,0,1,0,0,0,1,1,1
67,959,1,47.0,42.4,0,0,1,0,0,0,0,0,1,1,0,0,1,1
68,960,1,31.0,28.5375,0,0,1,0,0,0,1,0,0,1,0,0,1,0
69,961,0,60.0,263.0,0,0,0,1,0,0,0,0,1,1,0,0,6,0
